date,title,label,object,domain,pmi,score_RISK,week
2025-12-06,WNA China Ditangkap Saat Selundupkan Nikel di Bandara PT IWIP Maluku Utara,EXECUTION,Nickel & EV,Mining & Upstream,4.88,0.0,2025-12-01
2025-08-15,Puan Puji Respons Cepat Prabowo Cabut Izin Tambang di Raja Ampat,EXECUTION,Nickel & EV,Mining & Upstream,4.92,0.0,2025-08-11
2026-01-05,"Kisah Ulfi Guru SD Lolos Beasiswa LPDP, Kini Kerja di Perusahaan Nikel",DISCOURSE,Nickel & EV,General,3.0,0.0,2026-01-05
2025-06-11,"DPR Dukung Penataan IUP di Kawasan Lindung, Termasuk Raja Ampat",EXECUTION,Nickel & EV,Mining & Upstream,4.99,0.0,2025-06-09
2026-01-05,"Tantangan Industri Sawit di Indonesia 2026, Produktif Tanpa Ekspansi Lahan",POLICY,General,Mining & Upstream,4.11,0.0,2026-01-05
2025-03-19,Peneliti Ungkap Peran Bahlil dalam Keberhasilan Pembangunan Precious Metal Refinery di Gresik,EXECUTION,Other Minerals,Industrial & Investment,4.81,0.0,2025-03-17
2025-07-31,"8 Orang Tersangka Korupsi Pertambangan di Bengkulu, Pembuat Kebijakan Menyusul",POLICY,General,General,1.03,-4.0,2025-07-28
2025-12-01,"Banjir di Aceh, Pemerintah Didorong Pulihkan Alam Pasca-bencana",DISCOURSE,Other Minerals,Sustainability & ESG,3.0,0.0,2025-12-01
2025-09-29,"Indonesia Jadi Poros Utama Investasi Hijau China, Nilai Capai Rp 3.900 Triliun",DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2025-09-29
2025-12-12,Kolaborasi Dorong Nikel Olahan Indonesia Masuk Rantai Pasok Baterai Dunia,DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2025-12-08
2024-12-16,"Baca Pleidoi, Bos Smelter Timah Minta Hakim Buka Rekening dan Kartu Kredit yang Diblokir",DISCOURSE,Other Minerals,Industrial & Investment,1.01,-4.0,2024-12-16
2024-07-17,"Dukung Pembangunan Berkelanjutan, Ini Manfaat dan Contoh Adaptasi SDGs di Sektor Swasta",IMPACT,Nickel & EV,Industrial & Investment,4.36,0.0,2024-07-15
2026-01-12,"Sekolah Maung Disiapkan, Pemprov Jabar Targetkan Cetak SDM Unggul 2027",EXECUTION,General,General,4.93,0.0,2026-01-12
2024-12-18,Kronologi Ledakan Smelter Titanium di Karawang yang Tewaskan 2 Orang,DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2024-12-16
2025-09-25,"Penjualan Alat Berat Komatsu Naik 16 Persen, United Tractors Optimis",DISCOURSE,Other Minerals,General,3.24,0.0,2025-09-22
2025-10-14,Mengapa Kendaraan di Tambang Memerlukan Bendera dengan Tiang Tinggi?,EXECUTION,General,General,5.0,0.0,2025-10-13
2025-11-25,Gejolak Geopolitik dan Komoditas Bikin Bisnis Alat Berat Melambat,DISCOURSE,Nickel & EV,General,3.47,0.0,2025-11-24
2026-01-12,"Pertumbuhan Ekonomi 2025 Diprediksi Meleset dari Target Pemerintah, Kenapa?",DISCOURSE,General,Industrial & Investment,4.07,0.0,2026-01-12
2025-03-17,"Resmikan Pabrik Emas Freeport di Gresik, Prabowo Sebut yang Terbesar di Dunia",DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2025-03-17
2025-10-23,3.900 Hektar HPL Siap Digunakan untuk Hilirisasi Kelapa Maluku Utara,DISCOURSE,General,Industrial & Investment,1.19,-2.0,2025-10-20
2025-12-29,Menyoal Langkah KPK Hentikan Perkara Izin Tambang Nikel Konawe Utara,DISCOURSE,Nickel & EV,General,1.0,-6.0,2025-12-29
2026-01-21,"KAI Logistik Angkut 22,9 Juta Ton Barang Sepanjang 2025",DISCOURSE,Coal & Energy,Sustainability & ESG,3.0,0.0,2026-01-19
2025-10-22,KPK Cek Penambang Emas Dekat Mandalika: Kok Tak Bisa Bahasa Indonesia?,DISCOURSE,Other Minerals,General,3.0,0.0,2025-10-20
2025-12-26,Deretan Truk Baru 2025: Persaingan Ketat Pasar Logistik,DISCOURSE,Coal & Energy,General,3.0,0.0,2025-12-22
2026-01-19,"Kejar Target Ekonomi 8 Persen, Pengusaha Dorong Pembentukan Tim Percepatan Kawasan Industri",EXECUTION,General,Industrial & Investment,4.91,0.0,2026-01-19
2025-06-11,Pertarungan Emas Hijau Vs Nikel di Raja Ampat,IMPACT,Nickel & EV,Mining & Upstream,4.99,0.0,2025-06-09
2025-12-17,"Tarik Investasi Tambang, Kepastian Hukum Jadi Kunci",DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2025-12-15
2025-12-03,"Kata Rosan soal Hilirisasi Kelapa: Investasi Tidak Besar, Tetapi Ciptakan 10.000 Lapangan Kerja",IMPACT,Nickel & EV,Industrial & Investment,4.11,0.0,2025-12-01
2025-10-09,Pengamat Sebut PP 39 Tahun 2025 Prioritaskan Kebutuhan Minerba Dalam Negeri,DISCOURSE,Coal & Energy,Mining & Upstream,3.0,0.0,2025-10-06
2026-01-23,"Purbaya Tahan Kenaikan CHT, Produsen: Kondusif Jaga Kelangsungan Usaha Industri Hasil Tembakau",DISCOURSE,General,Industrial & Investment,3.36,0.0,2026-01-19
2024-03-01,Menteri ESDM Yakin Smelter Freeport di Gresik Beroperasi Juni 2024,EXECUTION,Other Minerals,Industrial & Investment,5.0,0.0,2024-02-26
2025-09-05,"100 Ton Emas Tersembunyi di Afrika Barat, Tambang Baru Doropo Segera Beroperasi",DISCOURSE,Other Minerals,Industrial & Investment,3.24,0.0,2025-09-01
2025-06-09,"Terbukti, Ada Kolam Limbah Tambang Nikel Raja Ampat Jebol dan Cemari Laut",EXECUTION,Other Minerals,Sustainability & ESG,2.75,-2.5,2025-06-09
2025-11-11,Pulau Obi Jadi Episentrum Baru Ekonomi Maluku Utara,EXECUTION,Nickel & EV,Trade & Export,4.88,0.0,2025-11-10
2026-01-19,Mensesneg Sebut Pembentukan BUMN Tekstil untuk Selamatkan Buruh Sritex,DISCOURSE,General,Trade & Export,3.76,0.0,2026-01-19
2025-06-30,"Sepekan Aktivitas Tambang di Bandung Barat Ditutup, Buruh Harian Kelimpungan",EXECUTION,General,Sustainability & ESG,4.88,0.0,2025-06-30
2025-06-13,Antam Tegaskan Operasional GAG Nikel di Raja Ampat Sesuai Arahan Pemerintah,EXECUTION,Nickel & EV,Mining & Upstream,4.9,0.0,2025-06-09
2024-12-06,Harvey Moeis Anggap Rp 100 Juta per Bulan dari Bos Smelter Timah Sebagai Uang Jajan,EXECUTION,Coal & Energy,Industrial & Investment,3.49,-2.0,2024-12-02
2025-06-10,"Izin Tambang di Raja Ampat Tak Dicabut, PT Gag Nikel Punya Siapa?",EXECUTION,Nickel & EV,Mining & Upstream,4.88,0.0,2025-06-09
2025-01-06,Riset FEB Brawijaya Soroti Kolaborasi Hexahelix di Gresik Untungkan Hilirisasi,IMPACT,Other Minerals,Industrial & Investment,4.85,0.0,2025-01-06
2025-05-23,Investasi 45 Miliar Dollar AS Diklaim Bakal Masuk ke Proyek Energi dan Hilirisasi,EXECUTION,Nickel & EV,Industrial & Investment,4.81,0.0,2025-05-19
2025-09-24,Senyum Lebar Windu Aji Usai Divonis Bebas Hukuman Kasus TPPU di Blok Mandiodo,DISCOURSE,Nickel & EV,General,1.01,-4.0,2025-09-22
2026-01-21,Diplomasi Pupuk: Indonesia Amankan Gas dan Fosfat dari Aljazair,DISCOURSE,General,Industrial & Investment,3.0,0.0,2026-01-19
2026-01-11,"Disnakertrans: Ada 22.338 TKA Bekerja di Jawa Tengah, Didominasi dari China",DISCOURSE,General,General,3.0,0.0,2026-01-05
2023-12-31,"Sahrul, Korban Kebakaran Tungku Smelter Morowali Meninggal Dunia",DISCOURSE,General,Industrial & Investment,3.2,0.0,2023-12-25
2025-08-12,"Kepala BRIN: Perlu Inovasi Benih Sawit Berbasis Genomik, Industri Harus Terlibat",DISCOURSE,General,Industrial & Investment,3.0,0.0,2025-08-11
2025-05-23,Bahlil Ungkap Proyek Hilirisasi Senilai 45 Miliar Dolar AS Segera Dimulai,EXECUTION,Nickel & EV,Industrial & Investment,4.96,0.0,2025-05-19
2026-01-23,"Kredit Bank Menyusut, Fintech Punya Peluang Isi Celah Pembiayaan UMKM",DISCOURSE,General,General,3.0,0.0,2026-01-19
2026-01-21,Jalan Bagi Kesejahteraan Petani Kopi,DISCOURSE,General,Trade & Export,3.0,0.0,2026-01-19
2025-09-18,Peluang Ekspor Komponen Otomotif untuk UMKM Lokal,DISCOURSE,General,Trade & Export,3.0,0.0,2025-09-15
2026-01-20,"7 KPI untuk Manufaktur Berkelanjutan, Olah Limbah hingga Polusi Udara",POLICY,General,Industrial & Investment,4.24,0.0,2026-01-19
2026-01-22,Bisakah Biaya Retur Kurangi Dampak Industri Fast Fashion?,DISCOURSE,General,Sustainability & ESG,3.0,0.0,2026-01-19
2025-03-17,Smelter Emas Freeport di Gresik Cetak Sejarah Baru di Industri Logam Mulia Indonesia,EXECUTION,Other Minerals,Industrial & Investment,5.0,0.0,2025-03-17
2025-06-16,"Studi Ungkap Tambang Nikel Picu Asma, Kanker, dan Kerusakan Ginjal",DISCOURSE,Nickel & EV,Sustainability & ESG,3.0,0.0,2025-06-16
2025-06-18,"Tim KKP Menyelam di Raja Ampat, Pastikan Tambang Nikel Tak Ganggu Ekosistem Laut",DISCOURSE,Nickel & EV,Mining & Upstream,3.0,0.0,2025-06-16
2025-11-27,"Kisah Piyan, Anak Tukang Ojek Lolos Beasiswa LPDP dan Kerja di Pertambangan",DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2025-11-24
2024-10-04,"Kadar Logam Timah dari Smelter Swasta Hanya 98,5 Persen, PT Timah Harus Murnikan Lagi",DISCOURSE,Other Minerals,Industrial & Investment,1.01,-4.0,2024-09-30
2024-12-09,"Bos Smelter Timah Awi dan Robert Indarto Dituntut 14 Tahun Penjara, Uang Pengganti Triliunan Rupiah",DISCOURSE,Other Minerals,Industrial & Investment,1.01,-4.0,2024-12-09
2025-08-20,"Upacara HUT RI di Ketinggian 2.000 Meter, Freeport Tampilkan Budaya Nusantara dan Tegaskan Hilirisasi",EXECUTION,Other Minerals,Industrial & Investment,4.91,0.0,2025-08-18
2025-04-30,"Gibran Ngomong Hilirisasi: Ayo Ikut Jump In, Ayo Buat Inovasi",DISCOURSE,General,Industrial & Investment,3.0,0.0,2025-04-28
2025-11-02,"Penjualan Nikel Melonjak, PAM Mineral (NICL) Raup Pendapatan Rp 1,35 T",DISCOURSE,Nickel & EV,General,3.0,0.0,2025-10-27
2025-06-11,Langkah Strategis MMP Wujudkan Industri Nikel yang Tangguh dan Berkelanjutan,DISCOURSE,Nickel & EV,Industrial & Investment,3.72,0.0,2025-06-09
2025-11-05,"Petani Lahat di Tengah Fluktuasi Harga Kopi, antara Bertahan dan Menunggu Untung",DISCOURSE,General,Trade & Export,3.0,0.0,2025-11-03
2024-09-27,PT GNI Upayakan Perbaikan Gizi dan Kesehatan Warga Lingkar Industri,DISCOURSE,Nickel & EV,General,3.0,0.0,2024-09-23
2025-06-15,Simak Prospek Saham Penambang Nikel di Tengah Tren Penurunan Harga,DISCOURSE,Nickel & EV,Industrial & Investment,3.34,0.0,2025-06-09
2025-08-27,"Danantara dan GEM Asal China Sepakati Investasi Hilirisasi Nikel Rp 23,3 Triliun",EXECUTION,Nickel & EV,Industrial & Investment,4.9,0.0,2025-08-25
2025-08-05,"ESDM Jabar Sebut Penambangan Tanah Tol Bocimi Ilegal, Suplai Dihentikan",DISCOURSE,Other Minerals,Mining & Upstream,3.0,0.0,2025-08-04
2025-10-08,Menkop: Sudah Ada Koperasi Ajukan Izin Kelola Tambang dan Batu Bara,DISCOURSE,Other Minerals,Mining & Upstream,3.0,0.0,2025-10-06
2026-01-14,"Ekspor Motor CBU Indonesia Turun di 2025, Ini Penyebabnya",DISCOURSE,General,Trade & Export,3.0,0.0,2026-01-12
2025-12-19,IESR: Penghentian Insentif Kendaraan Listrik Bisa Hilangkan Manfaat Ekonomi hingga Rp 544 Triliun,DISCOURSE,Coal & Energy,Industrial & Investment,3.62,0.0,2025-12-15
2026-01-25,Tantangan Penjualan Truk Hino di 2026: Truk Impor China Menghantui,DISCOURSE,Nickel & EV,Trade & Export,3.0,0.0,2026-01-19
2025-10-31,"Genjot Hilirisasi, Mentan Klaim Banyak Investor Lirik Sektor Gula",DISCOURSE,General,Industrial & Investment,3.0,0.0,2025-10-27
2025-12-24,"Industri Tekstil di Ujung Tanduk, Banjir Impor dan Kredit Macet Biang Keroknya?",DISCOURSE,General,Trade & Export,3.0,0.0,2025-12-22
2026-01-09,Toyota Harap Insentif Otomotif Berlanjut di 2026,DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2026-01-05
2025-06-10,Bahlil: PT Gag Sudah Eksplorasi Nikel di Raja Ampat Sejak 1972,DISCOURSE,Nickel & EV,Mining & Upstream,3.0,0.0,2025-06-09
2025-06-08,"Tambang PT GAG Nikel di Hutan Lindung Raja Ampat Legal, Menteri LH: Dapat Pengecualian UU",POLICY,Nickel & EV,Mining & Upstream,4.52,0.0,2025-06-02
2025-12-29,Masa Senja Industri Kehutanan Indonesia,DISCOURSE,Other Minerals,Industrial & Investment,3.2,0.0,2025-12-29
2025-06-09,Asal-Usul Raja Ampat dan Riwayat Pulau Gag Menjadi Tambang Nikel,DISCOURSE,Nickel & EV,General,3.0,0.0,2025-06-09
2025-12-23,"Debottlenecking Dimulai, Purbaya Tangani Masalah Sampah dan Tekstil",DISCOURSE,Coal & Energy,Industrial & Investment,3.0,0.0,2025-12-22
2025-06-10,"PT Gag Nikel Tak Dicabut Izinnya, Bahlil: Hasil Evaluasi Baik",EXECUTION,Nickel & EV,Mining & Upstream,4.88,0.0,2025-06-09
2025-04-21,Mentan Amran Ingin Sumbawa Jadi Sentra Hilirisasi Jagung,IMPACT,General,Industrial & Investment,4.11,0.0,2025-04-21
2025-11-28,Kemarahan Sjafrie dan Krisis Kendali di Morowali,EXECUTION,Nickel & EV,Industrial & Investment,5.0,0.0,2025-11-24
2026-01-09,"Cegah Banjir Bandang, Andra Soni Siapkan Moratorium Tambang di Banten",DISCOURSE,General,Mining & Upstream,1.0,-9.0,2026-01-05
2025-06-12,"Usai Cekcok dengan Istri, Humas Perusahaan Tambang Nikel di Konawe Ditemukan Tewas Gantung Diri",DISCOURSE,Nickel & EV,General,3.0,0.0,2025-06-09
2025-12-06,Satgas PKH: Bandara PT IWIP Belum Penuhi Standar Minimal Perangkat Negara,EXECUTION,Nickel & EV,General,4.88,0.0,2025-12-01
2024-05-26,Bos Freeport Indonesia Cek Kesiapan Smelter Gresik Jelang Beroperasi,EXECUTION,Other Minerals,Industrial & Investment,5.0,0.0,2024-05-20
2024-08-16,Jokowi Sebut Selama 8 Tahun Smelter Nikel Cs Hasilkan Rp 158 Triliun,DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2024-08-12
2025-07-18,"Negosiasi dengan AS Masih Berlangsung, Pemerintah Upayakan CPO hingga Nikel Dapat Tarif 0 Persen",DISCOURSE,Nickel & EV,Trade & Export,3.0,0.0,2025-07-14
2025-12-24,Purbaya Siapkan Kredit Rp 2 T Buat Industri Tekstil hingga Furnitur,DISCOURSE,General,Trade & Export,3.0,0.0,2025-12-22
2026-01-12,Prabowo Bahas Ekosistem Semikonduktor buat Dukung Industri Otomotif,DISCOURSE,Other Minerals,Industrial & Investment,3.24,0.0,2026-01-12
2025-07-09,"Indonesia Sumbang 4,12 Persen Bahan Baku Minyak Atsiri Dunia, Kapan Hilirisasinya?",DISCOURSE,General,Industrial & Investment,3.24,0.0,2025-07-07
2026-01-19,"PMI-BI Naik Tipis, Aktivitas Industri Pengolahan Bergeliat",DISCOURSE,General,Industrial & Investment,3.0,0.0,2026-01-19
2026-01-15,Prabowo Ingin Pemanfaatan Mineral Kritis Dipercepat,DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2026-01-12
2025-09-30,"Dari Film Sore ke Sorowako, Menelisik Komitmen Industri Wujudkan Praktik Tambang Berkelanjutan",DISCOURSE,Nickel & EV,Sustainability & ESG,3.24,0.0,2025-09-29
2025-06-12,Uskup Timika: Sebaiknya Tambang Nikel di Pulau Gag Juga Ditutup,EXECUTION,Nickel & EV,Mining & Upstream,5.0,0.0,2025-06-09
2025-05-22,Kejagung Masih Hitung Nilai Aset Rest Area Bos Smelter Timah yang Disita,EXECUTION,Other Minerals,Industrial & Investment,1.0,-8.0,2025-05-19
2025-06-12,"Demo Tolak Tambang Nikel di Raja Ampat, Satu Anggota LBH Papua dan Satu Peserta Aksi di Jayapura Ditangkap Polisi",DISCOURSE,Nickel & EV,Mining & Upstream,3.0,0.0,2025-06-09
2024-10-10,"Sandra Dewi Klaim 88 Tas yang Disita Kejaksaan Hasil ""Endorse"", Bukan Dibelikan Harvey Moeis",DISCOURSE,Other Minerals,General,1.19,-2.0,2024-10-07
2026-01-15,IWIP Jadi Percontohan Kawasan Industri Nikel Berkelanjutan,DISCOURSE,Nickel & EV,Sustainability & ESG,3.24,0.0,2026-01-12
2025-06-09,Sederet Pelanggaran 4 Perusahaan Tambang Nikel di Raja Ampat,EXECUTION,Nickel & EV,Sustainability & ESG,3.15,-2.5,2025-06-09
2025-09-23,Anggota DPR Soroti Penjualan Ilegal Bijih dari PT Timah: Smelter Swasta Berani Bayar Lebih Mahal,DISCOURSE,Other Minerals,Mining & Upstream,3.0,0.0,2025-09-22
2025-07-16,Gibran: Kemenyan Sama Berharganya dengan Nikel,DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2025-07-14
2025-08-22,PTBA dan UGM Hadirkan Produk Kalium Humat dari Hilirisasi Batu Bara untuk Suburkan Tanah,DISCOURSE,Coal & Energy,Industrial & Investment,3.0,0.0,2025-08-18
2025-10-28,Mendorong Nilai Tambah di Negeri Seribu Kelapa,DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2025-10-27
2025-05-20,"Industri Nikel Dorong Standar Global, Ini Manfaatnya untuk Hilirisasi",DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2025-05-19
2026-01-23,"Sorot Pajak Tambang Tak Kembali ke Daerah Asal, Dedi Mulyadi: Rumah Kumuh, Pendidikan Tertinggal...",DISCOURSE,General,Sustainability & ESG,3.2,0.0,2026-01-19
2025-11-06,Mengapa Hilirisasi Tembaga dan Emas Perlu?,DISCOURSE,Other Minerals,Industrial & Investment,3.24,0.0,2025-11-03
2025-08-22,Siapa Rudy Ong? Bos Tambang yang Dijemput Paksa KPK Terkait Kasus IUP di Kaltim,EXECUTION,Coal & Energy,Mining & Upstream,1.01,-8.0,2025-08-18
2025-06-10,"4 Izin Usaha Tambang di Raja Ampat Dicabut, PT Gag Tak Termasuk",EXECUTION,Nickel & EV,Mining & Upstream,4.88,0.0,2025-06-09
2026-01-14,Bauksit hingga Bioavtur Masuk Daftar Groundbreaking Proyek Hilirisasi Danantara,DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2026-01-12
2025-12-10,"Smelter Gresik Sementara Berhenti Operasi, Bos Freeport Jamin Tak Ada PHK Karyawan",IMPACT,Other Minerals,Industrial & Investment,5.0,0.0,2025-12-08
2025-06-24,KPK Koordinasi dengan Greenpeace Bahas IUP Nikel di Raja Ampat,DISCOURSE,Nickel & EV,Mining & Upstream,1.0,-12.0,2025-06-23
2026-01-05,Nasib Minyak Venezuela Setelah Penangkapan Presiden Maduro,EXECUTION,Other Minerals,Industrial & Investment,4.85,-2.5,2026-01-05
2025-06-11,Pemilik Kapal JKW dan Iriana Bantah Terlibat Angkut Nikel Raja Ampat,DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2025-06-09
2024-11-29,Proyek Smelter Grup MIND ID Serap 8.600 Tenaga Kerja,IMPACT,Other Minerals,Industrial & Investment,5.0,0.0,2024-11-25
2025-06-12,"Ahmad Fahrur Rozi Jadi Komisaris PT Gag Nikel, PBNU: Itu Urusan Pribadi",EXECUTION,Nickel & EV,Mining & Upstream,5.0,0.0,2025-06-09
2025-10-14,"Dedi Mulyadi Tegaskan Nasib Tambang Rumpin dan Cigudeg Berdasarkan Audit Ilmiah, Bukan Tekanan Politik",DISCOURSE,Coal & Energy,Sustainability & ESG,3.0,0.0,2025-10-13
2024-10-10,Sandra Dewi Mengaku Akan Larang Harvey Moeis jika Tahu Bisnis dengan BUMN,EXECUTION,Other Minerals,Industrial & Investment,3.49,-2.0,2024-10-07
2025-06-20,"Kirim Surat Terbuka ke Presiden Prabowo, Masyarakat Suku Kawei Minta Pencabutan IUP PT KSM Ditinjau Ulang",EXECUTION,Coal & Energy,Sustainability & ESG,5.0,0.0,2025-06-16
2025-05-20,Bahlil Sebut Sejumlah Proyek Hilirisasi Ini Akan Diresmikan Prabowo,EXECUTION,Nickel & EV,Industrial & Investment,5.0,0.0,2025-05-19
2025-06-20,Wamen ESDM Beri Sinyal PT Gag Nikel Bakal Beroperasi Kembali,EXECUTION,Nickel & EV,Mining & Upstream,5.0,0.0,2025-06-16
2025-07-16,"BKPM Targetkan Investasi Hilirisasi Rp 521,4 Triliun Sepanjang 2025",POLICY,Other Minerals,Industrial & Investment,4.38,0.0,2025-07-14
2025-06-02,Pengamat: RI Sulit Tarik Investasi jika Masih Ada Hambatan Ormas dan Kebijakan,DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2025-06-02
2025-01-03,"Utamakan Keselamatan, Begini Prosedur Pengolahan Nikel di Kawasan IMIP",EXECUTION,Nickel & EV,Industrial & Investment,4.88,0.0,2024-12-30
2026-01-19,Prilly Latuconsina Umumkan Mundur dari Rumah Produksi Sinemaku Pictures,DISCOURSE,General,General,3.0,0.0,2026-01-19
2025-06-11,KKP Usulkan Revisi Aturan Izin Pulau Kecil Usai Kasus Tambang Nikel di Raja Ampat,DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2025-06-09
2025-07-29,"Manis di Podium, Pahit di Lahan: Tebu Dalam Bayang-bayang Retorika Hilirisasi",DISCOURSE,Nickel & EV,Industrial & Investment,3.34,0.0,2025-07-28
2025-06-10,"Komisi XII Sebut PT Gag Nikel Punya Legalitas Kuat, Wajar Izin Tambang Tak Dicabut",DISCOURSE,Nickel & EV,Mining & Upstream,3.88,0.0,2025-06-09
2025-07-25,Kejati Bengkulu Pamerkan Barang Mewah Hasil Sitaan Tersangka Korupsi Pertambangan,POLICY,Coal & Energy,Mining & Upstream,1.59,-2.0,2025-07-21
2025-11-06,"Rapat Bareng Airlangga-Bahlil, Prabowo Perintahkan Percepat Hilirisasi",EXECUTION,Other Minerals,Industrial & Investment,4.88,0.0,2025-11-03
2026-01-18,"Kejar Pertumbuhan 5,51 Persen, 1.236 Perusahaan Industri Siap Produksi",IMPACT,General,Industrial & Investment,4.99,0.0,2026-01-12
2025-06-11,Anggota DPR Dorong Investigasi Pemberi Izin Tambang di Raja Ampat,EXECUTION,Nickel & EV,Mining & Upstream,4.88,0.0,2025-06-09
2025-10-11,"Malaysia Siapkan APBN Rp 1.838 Triliun, Terbesar dalam Sejarah, Pajak Diperketat",DISCOURSE,Other Minerals,Trade & Export,3.65,0.0,2025-10-06
2024-04-27,5 Smelter Terkait Kasus Korupsi Timah yang Disita Kejagung Akan Tetap Beroperasi,EXECUTION,Other Minerals,Industrial & Investment,1.03,-8.0,2024-04-22
2025-05-08,"Filipina Bakal Larang Ekspor Nikel, Industri Smelter RI Terancam",DISCOURSE,Nickel & EV,Industrial & Investment,1.28,-2.0,2025-05-05
2025-06-10,"UMKM Bakal Kelola Tambang, Menteri Maman: PP-nya Segera Rampung",POLICY,Coal & Energy,Industrial & Investment,4.27,0.0,2025-06-09
2026-01-27,6 Alasan Kasus Pajak Cha Eun Woo Disebut Salah Satu yang Paling Serius di Industri Hiburan Korea,DISCOURSE,General,General,3.0,0.0,2026-01-26
2025-10-27,"Mentan Amran Lepas Ekspor Produk Kelapa Malut ke Tiongkok, Bukti Keberhasilan Hilirisasi Daerah",DISCOURSE,General,Trade & Export,3.0,0.0,2025-10-27
2024-09-25,"Pegawai Smelter Swasta Transfer 7,5 M ke Money Changer Helena Lim Atas Perintah Atasan",DISCOURSE,Other Minerals,Industrial & Investment,1.01,-4.0,2024-09-23
2025-11-27,"Tak Hanya EV, Sektor Metalurgi Hijau Bisa Dongkrak Hilirisasi Nikel",IMPACT,Nickel & EV,Industrial & Investment,4.91,0.0,2025-11-24
2024-10-23,Harvey Moeis Sebut Gubernur dan Kapolda Babel Pimpin Rapat PT Timah dengan Smelter Swasta pada 2018,DISCOURSE,Other Minerals,Industrial & Investment,1.19,-2.0,2024-10-21
2025-03-17,"Prabowo Tinjau Produksi Logam Mulia di Smelter Freeport, Sebut Pencapaian Terbesar",EXECUTION,Other Minerals,Industrial & Investment,4.88,0.0,2025-03-17
2025-12-28,"Kasus Izin Tambang Konawe Utara Disetop Sejak 2024, KPK: Terkendala Hitung Kerugian Negara",POLICY,Nickel & EV,General,1.59,-2.0,2025-12-22
2025-07-11,Bisnis Domestik dan Ekspor Kacang Mete,DISCOURSE,General,Trade & Export,3.0,0.0,2025-07-07
2025-06-17,Negara-negara G7 Diminta Perkuat Rencana Mineral Kritis Berkelanjutan,DISCOURSE,Nickel & EV,Sustainability & ESG,3.2,0.0,2025-06-16
2025-11-17,"Prabowo Bertemu Dasco di Istana, Bahas Olahraga, Hilirisasi hingga Situasi Politik",DISCOURSE,General,Industrial & Investment,3.2,0.0,2025-11-17
2025-09-14,Menteri LH Tetapkan Batasan Ketat untuk PT Gag Nikel di Raja Ampat,EXECUTION,Nickel & EV,Sustainability & ESG,4.96,-2.5,2025-09-08
2025-10-20,"3 Jurusan Pertambangan di PTN, Biaya UKT di Bawah Rp 10 Juta",DISCOURSE,General,General,3.0,0.0,2025-10-20
2025-08-25,Momen Rudy Ong Chandra Ngomel Sendiri Saat Ditampilkan KPK dalam Kasus Suap IUP Kaltim,POLICY,General,Mining & Upstream,1.0,-6.5,2025-08-25
2026-01-19,Sidang Korupsi Batu Bara Bengkulu: Saksi Ungkap Manipulasi Data PT Sucofindo,DISCOURSE,General,Mining & Upstream,1.0,-8.0,2026-01-19
2024-05-14,"Bangun Smelter, Tahun Ini ADMR Alokasikan Capex hingga 250 Juta Dollar AS",DISCOURSE,Other Minerals,Industrial & Investment,3.39,0.0,2024-05-13
2026-01-07,"Skor ESG Naik, Pertamina Pimpin Industri Migas Terintegrasi Global",DISCOURSE,Coal & Energy,Sustainability & ESG,3.0,0.0,2026-01-05
2026-01-24,"Korea Selatan Resmi Berlakukan UU AI, Industri Antara Cemas dan Antusias",POLICY,General,General,2.46,-2.5,2026-01-19
2025-09-23,"Hilirisasi Perkebunan Didukung 29 Provinsi, Target 1,6 Juta Lapangan Kerja",DISCOURSE,General,Industrial & Investment,3.0,0.0,2025-09-22
2024-03-21,Polisi Gerebek Rumah yang Dijadikan Smelter Pasir Timah di Belitung,DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2024-03-18
2025-06-09,"Pertambangan di Raja Ampat, Pemerintah Didesak Cabut Izin Perusahaan yang Melanggar",EXECUTION,Nickel & EV,Mining & Upstream,4.88,0.0,2025-06-09
2025-06-11,"Usai Viral, Pemilik Beberkan Alasan JKW dan Iriana Jadi Nama Kapal",DISCOURSE,Nickel & EV,General,3.0,0.0,2025-06-09
2025-06-07,"Polemik Tambang Nikel di Raja Ampat, Apa Saja Diketahui Sejauh Ini?",DISCOURSE,Nickel & EV,Mining & Upstream,3.2,0.0,2025-06-02
2024-05-06,PGN Suplai Gas Bumi untuk Smelter Tembaga Freeport,EXECUTION,Other Minerals,Industrial & Investment,5.0,0.0,2024-05-06
